"winery_key","display_name","region","country","description","source_url","status"
"trefethen","Trefethen Family Vineyards","Oak Knoll, Napa, CA","USA","One of Napa Valley's pioneering wineries, Trefethen Family Vineyards was founded in 1968 when Eugene and Catherine Trefethen bought several farms surrounding the historic 1886 Eshcol winery in the Oak Knoll District. Their son John made the first commercial Trefethen vintage in 1973. Now in its third generation, the family makes only estate-grown wines from its sustainably farmed Oak Knoll vineyards, where a cooler climate gives the wines a characteristic brightness and longevity.","https://en.wikipedia.org/wiki/Trefethen_Vineyards","verified"
"zaca mesa","Zaca Mesa","Santa Ynez Valley, CA","USA","Established in 1973 and still owned by the Cushman family, Zaca Mesa is a family-owned estate winery in the Santa Ynez Valley of Santa Barbara County. In 1978 it became the first to plant Syrah in the area and went on to pioneer the region's Rhone movement, focusing on Syrah, Grenache, Mourvedre, Viognier, and Roussanne grown on its estate along the Foxen Canyon Wine Trail. Known as a training ground for many notable California winemakers.","https://www.prnewswire.com/news-releases/trailblazing-santa-barbara-county-winery-zaca-mesa-celebrates-45-years-of-winemaking-300609391.html","verified"
"neyers","Neyers Vineyards","Carneros, Sonoma / Napa, CA","USA","Neyers Vineyards was founded by Bruce and Barbara Neyers, who began with a ranch in Conn Valley east of St. Helena and later built a winery in the Sage Canyon area of Napa Valley. Bruce's long association with Berkeley wine importer Kermit Lynch shaped a French-inspired, food-friendly philosophy that favors gentle oak and pure varietal character. The house is especially known for Chardonnay, including Carneros bottlings, and was named Artisan Winery of the Year by Wine & Spirits in 2002.","https://www.neyersvineyards.com/about-us/","verified"
"tornatore","Tornatore","Etna, Sicily","Italy","The Tornatore family is one of the oldest winegrowing families on Mount Etna, with Sicilian roots tracing to the 17th century and grape growing on the volcano since 1865. In 2010 Francesco Tornatore established the family winery at Castiglione di Sicilia on Etna's north slope, where high-altitude vineyards in volcanic soil yield wines of marked minerality and freshness. Whites are built on native Carricante, reds on Nerello Mascalese and Nerello Cappuccio.","https://www.wine.com/product/tornatore-etna-bianco-2020/780673","verified"
"livio felluga","Livio Felluga","Friuli","Italy","Livio Felluga founded his namesake winery in 1956 after relocating from his native Istria, though the family's winemaking traditions reach back to the mid-19th century. A patriarch of modern Friulian wine who lived to 102, he built a reputation for lush, balanced whites from the hillside vineyards of Collio and Colli Orientali, where marl-and-sandstone Ponca soils lend a distinctive minerality. The family-owned estate is led today by his son Andrea Felluga.","https://artisan.wine/products/livio-felluga-pinot-grigio-collio-orientali-2021-friuli-venezia-giulia-italy","verified"
"flowers","Flowers Vineyards & Winery","Sonoma Coast, CA","USA","Flowers Vineyards & Winery was founded in 1989 when Walt and Joan Flowers, Pennsylvania nursery owners, bought 321 acres on the rugged far edge of the Sonoma Coast and began planting Pinot Noir and Chardonnay on high coastal ridges just two miles from the Pacific. Pioneers of extreme cool-climate coastal viticulture, they farm estate sites at Camp Meeting Ridge and Sea View Ridge. Now owned by Huneeus Vintners, the winery works with native fermentation and minimal intervention.","https://www.wine-searcher.com/merchant/17627-flowers-vineyard-winery","verified"
"rochioli","Rochioli Vineyards & Winery","Russian River Valley, Sonoma, CA","USA","Rochioli Vineyards & Winery is one of the Russian River Valley's iconic estates, farmed by three generations of the Rochioli family on Westside Road southwest of Healdsburg. Italian immigrant Joe Sr. began farming the land in 1938; Joe Jr. planted Sauvignon Blanc in 1959, among the oldest in Sonoma County, and added Pinot Noir and Chardonnay in the early 1970s. Today Joe Jr. and son Tom make sought-after, terroir-driven, estate-grown wines in such demand they carry long waiting lists.","https://www.hoteiwines.com/wines/product_detail.cfm?lang=EN&pdtID=17240","verified"
"dow","Dow's (Vale do Bomfim)","Douro","Portugal","Dow's is one of the great names of Port, part of the Symington family's Douro estates and built on the historic Quinta do Bomfim near Pinhao. The Vale do Bomfim dry red is made from grapes grown in vineyards that have long supplied the House of Dow, a blend of native Douro varieties such as Touriga Nacional, Touriga Franca, Tinta Roriz, and Tinta Barroca. Begun as a wine the family made for their own table, it became a benchmark of value-driven dry Douro reds.","https://www.wine.com/product/dows-vale-do-bomfim-2019/781276","verified"
"venta morales","Venta Morales","Castilla / La Mancha","Spain","Venta Morales is a La Mancha project from Bodegas Volver, the Spanish venture of importer Jorge Ordonez and winemaker Rafael Canizares, founded in 2004 to spotlight lesser-known Spanish regions. Made from dry-farmed Tempranillo grown at altitude on sandy, limestone-rich soils in the eastern part of the appellation, it is vinified in stainless steel to keep the fruit fresh and aromatic. An organic bottling is also produced.","https://caskcartel.com/products/2020-bodegas-volver-venta-morales-organic-tempranillo-tinto","verified"
"llama","Llama (Belasco de Baquedano)","Mendoza","Argentina","Llama is the approachable line from Belasco de Baquedano, a Malbec specialist in the Alto Agrelo area of Lujan de Cuyo, Mendoza. The Belasco family traces its drinks heritage to Viana, Spain in 1831; Juan Ignacio Belasco built the Argentine winery, which released its first vintage in 2008, working with consultant Bertrand Bourdil, formerly of Mouton Rothschild. Set at the Andean foothills around 1,000 meters, the estate is known for old-vine Malbec from original French clones.","https://www.championwinecellars.com/products/2023-belasco-de-baquedano-llama-old-vine-red-blend-malbec-cabernet-franc-mendoza-argentina","verified"
"les abeilles","Les Abeilles (J. Boutin)","Cotes du Rhone","France","Les Abeilles is the Cotes du Rhone bottling of Jean-Luc Colombo, the Marseille-born oenologist who, with his wife Anne, settled in Cornas in 1984 and became a transformative figure in modern Rhone winemaking. A Grenache, Syrah, and Mourvedre blend, it is a fresh, silky, fruit-driven expression of the southern Rhone. The family estate, now with daughter Laure as head winemaker, farms sustainably across the Rhone, Languedoc, and Provence. NOTE: menu lists 'J. Boutin' as producer; verify, sources attribute Les Abeilles to Jean-Luc Colombo.","https://www.wine.com/product/jean-luc-colombo-cotes-du-rhone-les-abeilles-2022/3425813","verified"
"blackboard","Blackboard by Matthews","Columbia Valley, WA","USA","Blackboard is a value-focused Washington label made by Matthews Winery, the Woodinville producer founded in 1993 (today owned by the Otis family) and known for Bordeaux-style reds from the Columbia Valley. Sourced from sustainably farmed vineyards across Washington AVAs such as Royal Slope and the broader Columbia Valley, the Blackboard red is a Cabernet- and Merlot-based blend. The brand also gives back, directing donations to education and student-support causes.","https://www.winebow.com/our-brands/blackboard","verified"
"chateau rocher-calon","Chateau Rocher-Calon","Saint-Emilion / Montagne, Bordeaux","France","Chateau Rocher-Calon is a Montagne Saint-Emilion estate owned by Vignobles Lagardere, the father-and-son team of Jean-Claude and Gael Lagardere, whose family roots in the area date to just after World War One. Montagne is the largest of the Saint-Emilion satellite appellations, offering much of the character of its famous neighbor at better value. The wine is built on roughly 90% Merlot with Cabernet from clay-limestone soils and 35-year-old vines, a rich, supple, food-friendly Bordeaux.","https://www.vignobles-lagardere.fr/en/wines/chateau-rocher-calon/","verified"
"j vineyards","J Vineyards & Winery","Russian River Valley, Sonoma, CA","USA","J Vineyards & Winery was founded in 1986 by Judy Jordan in the Russian River Valley of Sonoma County, building a reputation for sparkling wine as well as Pinot Noir and Chardonnay. It has been owned and operated by E&J Gallo since 2015.","https://en.wikipedia.org/wiki/J_Vineyards_%26_Winery","verified"
"sense of place","Sense of Place","Monterey, CA","USA","Sense of Place is a small Central Coast label built around terroir, founded by proprietor Leslie with winemaking ties to her son Garrett, a Carmel Valley winemaker. It focuses on small-lot Pinot Noir and Chardonnay from high-quality Monterey and Central Coast vineyards, including Santa Lucia Highlands sites, with organic and sustainable farming. The Coastal Cuvee Pinot Noir is its Monterey County bottling.","https://senseofplacewines.com/vineyards/","verified"
"cotiere","Cotiere","Santa Barbara, CA","USA","Cotiere was founded in 2006 by Santa Barbara native and winemaker Kevin Law, whose background in atmospheric science and geology informs a terroir-driven, minimal-intervention approach. The winery works coveted Sta. Rita Hills and Central Coast vineyards, Bentrock, La Rinconada, Sanford & Benedict, Hilliard Bruce, and Talley Rincon among them, focusing on Pinot Noir and Chardonnay, with a Bordeaux program added from Napa and Santa Ynez fruit.","https://www.cotierewine.com/about","verified"
"michele satta","Michele Satta","Bolgheri, Tuscany","Italy","Michele Satta is one of the pioneers of Bolgheri on the Tuscan coast. He arrived in 1974 to learn winegrowing and founded his own estate in the early 1980s, among the first in the area, just as the Bolgheri DOC was taking shape. A founding member of the consortium, he is known for championing Sangiovese in a region dominated by Bordeaux varieties, alongside Cabernet, Merlot, Syrah, and Vermentino. The family estate, now farmed organically with son Giacomo as winemaker, spans about 23 hectares.","https://www.bolgheridoc.com/en/consorziati/michele-satta-en/","verified"
"leviathan","Leviathan","California","USA","Leviathan is the personal red-blend project of acclaimed winemaker Andy Erickson, known for his work at Screaming Eagle, Dalla Valle, Ovid, and others. Founded in 2004, it sets out to make a single Cabernet-based California blend each vintage, free of appellation constraints, drawing on top vineyards across Northern California from the Mayacamas to Coombsville and beyond. The result is a bold yet balanced, widely praised wine prized for its value.","https://www.leviathanwine.com/about/","verified"
"cristia","Domaine de Cristia","Chateauneuf-du-Pape","France","Domaine de Cristia is a Grangeon family estate in Chateauneuf-du-Pape, founded around 1942 by Etienne Grangeon with just two hectares of Grenache, its grapes once sold in bulk. In 1999 the next generation, Baptiste and Dominique Grangeon, began bottling the estate's own wine and elevating quality. Farming the sandy soils of the Cristia lieu-dit with old-vine Grenache, Syrah, and Mourvedre, the domaine has been certified organic since the 2008 vintage and makes supple, elegant southern Rhone reds.","https://www.bowlerwine.com/producer/cristia","verified"
"louis latour","Maison Louis Latour","Burgundy","France","Maison Louis Latour is one of Burgundy's most storied houses, family-owned and independent since its official founding in 1797 and now in its eleventh-plus generation. Based in Beaune with its historic heart in Aloxe-Corton, the Latour family first bought Cote de Beaune vines in the 1730s, originally as coopers. The house holds the largest expanse of Grand Cru vineyards in Burgundy, including Corton-Charlemagne, and is renowned worldwide for its Pinot Noir and Chardonnay.","https://en.wikipedia.org/wiki/Maison_Louis_Latour","verified"
"jordan","Jordan Vineyard & Winery","Alexander Valley, Sonoma, CA","USA","Jordan Vineyard & Winery was founded in 1972 by Tom and Sally Jordan in Sonoma County's Alexander Valley, inspired by the great estates of France. With legendary André Tchelistcheff as consulting winemaker, they set out to craft a Bordeaux-style California Cabernet that is approachable young yet ages gracefully. Famously focused, Jordan makes just two wines, an Alexander Valley Cabernet Sauvignon and a Russian River Valley Chardonnay, in an elegant, food-friendly style. Now led by son John Jordan.","https://en.wikipedia.org/wiki/Jordan_Vineyard_%26_Winery","verified"
"robert hall","Robert Hall Winery","Paso Robles, CA","USA","Robert Hall Winery was founded in 1999 by Robert Hall, a Minnesota entrepreneur who fell for the wines of southern France and chose Paso Robles for its climate and diverse soils. The estate grows Bordeaux and Rhone varieties and sources from across the Paso Robles AVAs, making bold, well-priced reds. Longtime winemaker Don Brady helped establish Paso Robles as an AVA in 1983 and shape the region's style; the estate is now Regenerative Organic Certified.","https://www.ediblela.com/news/meet-the-maker-robert-hall","verified"
"clos du val","Clos du Val","Napa Valley, CA","USA","Clos du Val was founded in 1972 in Napa's Stags Leap District by John and Henrietta Goelet, who tasked French-born winemaker Bernard Portet, son of a Lafite-Rothschild technical director, with finding the ideal site for a world-class Cabernet. Its debut 1972 Cabernet was one of the California wines in the famous 1976 Judgment of Paris, and took first place in the 1986 rematch. Still family-owned, it farms estate vineyards in Stags Leap and Yountville and is known for elegant, age-worthy reds.","https://en.wikipedia.org/wiki/Clos_Du_Val_Winery","verified"
"markham","Markham Vineyards","Napa Valley, CA","USA","Markham Vineyards is one of Napa Valley's most historic properties, rooted in a stone cellar built in 1879 by Bordeaux immigrant Jean Laurent, making it among the oldest continuously operating wineries in the valley. It took its current name in 1977-78 under Bruce Markham, and in 1980 became one of the first four Napa wineries to make a varietal Merlot, the grape that became its flagship. It farms around 260 acres across Yountville, Oak Knoll, and Calistoga. NOTE: most sources credit founder Bruce Markham; verify any 'David and Peter Markham' attribution.","https://en.wikipedia.org/wiki/Markham_Vineyards","verified"
"j. lohr","J. Lohr Vineyards & Wines","Monterey / Paso Robles, CA","USA","J. Lohr Vineyards & Wines was founded by Central Coast pioneer Jerry Lohr, who unveiled his first San Jose winery in 1974 after planting 280 acres in Monterey's Arroyo Seco in 1972-73 (originally as Turgeon & Lohr). Recognizing Arroyo Seco for cool-climate Chardonnay and, in the 1980s, Paso Robles for Cabernet and Bordeaux varieties, Jerry helped elevate the entire region. The family-owned company farms thousands of estate acres across Monterey, Paso Robles, and Napa, and is among the top US producers.","https://en.wikipedia.org/wiki/J._Lohr_Vineyards_%26_Wines","verified"
"domaine vocoret","Domaine Vocoret & Fils","Chablis","France","Domaine Vocoret et Fils is one of Chablis' oldest family domaines, founded in 1870 by Edouard Vocoret and now farmed by the fourth and fifth generations. The estate works around 33 to 40 hectares entirely within the Chablis commune, spanning Petit Chablis through Premier and Grand Cru, on the clay-limestone Kimmeridgian soils that give the wines their hallmark minerality and tension. Traditional in approach, with most cuvees fermented in stainless steel to preserve purity of terroir.","https://www.bowlerwine.com/producer/vocoret","verified"
"domaine du vieux lazaret","Domaine du Vieux Lazaret","Chateauneuf-du-Pape","France","Domaine du Vieux Lazaret is one of the largest and oldest estates in Chateauneuf-du-Pape, farmed by the Quiot family since Antoine Quiot bought his first vines in 1748. Spread across roughly 100 hectares in many parcels throughout the appellation, it grows all the permitted varieties on three soil types. The name, adopted in 1915, recalls an old Lazarist hospice that sheltered the sick during the plagues of past centuries. Now run by the thirteenth generation of the family.","https://en.wikipedia.org/wiki/Domaine_du_Vieux_Lazaret","verified"
"felsina","Felsina","Chianti Classico, Tuscany","Italy","Felsina (Fattoria di Felsina) was founded in 1966 when Domenico Poggiali acquired the estate at Castelnuovo Berardenga, on the southern edge of Chianti Classico where it meets the Crete Senesi. Taking its name from the area's Etruscan past, the estate became a benchmark for Sangiovese, vinified in purity for wines like Chianti Classico Berardenga, Rancia, and Fontalloro. Now led by third-generation Giovanni Poggiali, with longtime consulting winemaker Franco Bernabei, it is a perennial Tre Bicchieri winner.","https://www.felsina.it/en/home/","verified"
"chateau paveil de luze","Chateau Paveil de Luze","Margaux, Bordeaux","France","Chateau Paveil de Luze is one of the oldest properties in the Medoc, in the commune of Soussans within the Margaux appellation, owned by the de Luze family since Baron Alfred de Luze, also a noted Bordeaux negociant, bought the estate in 1862. Now spanning about 32 hectares of Cabernet Sauvignon and Merlot on gravelly soils in a single block, it is a Cru Bourgeois making classic, soft, elegant Margaux. Replanted after the harsh winter of 1956 and run today by the sixth and seventh generations.","https://fr.wikipedia.org/wiki/Ch%C3%A2teau_Paveil_de_Luze","verified"
"orma","Orma","Bolgheri, Tuscany","Italy","Orma is a small Bolgheri estate established in 2004-05 when Antonio Moretti Cuseri, owner of Tuscany's Tenuta Sette Ponti, was captivated by the area and set out to leave his mark, Orma meaning footprint. Just 7.5 hectares on the prized Via Bolgherese between Ornellaia and Sassicaia, on red, pebbly, mineral-rich soils, it produces a polished, sea-influenced Bordeaux blend of Merlot, Cabernet Sauvignon, and Cabernet Franc. Now in the family's third generation.","https://www.ormabolgheri.it/en/history/","verified"
"yalumba","Yalumba","Barossa / Rutherglen","Australia","Yalumba is Australia's oldest family-owned winery, founded in 1849 when Dorset-born brewer Samuel Smith planted his first vines at Angaston in the Barossa Valley. Six generations of the Hill-Smith family have kept it fiercely independent, with a long history in fortified wines alongside Barossa Shiraz, Grenache, and the Cabernet-Shiraz blend. It runs the Southern Hemisphere's only on-site cooperage and a renowned vine nursery, and is a founding member of Australia's First Families of Wine.","https://en.wikipedia.org/wiki/Yalumba","verified"
"graham's","Graham's","Douro (Port)","Portugal","W. & J. Graham's is one of the great Port houses, founded in 1820 by Scottish brothers William and John Graham, who took 27 barrels of Port in settlement of a debt and turned to winemaking. In 1890 they built the Graham's Lodge in Vila Nova de Gaia and acquired the prized Quinta dos Malvedos in the Douro. Owned since 1970 by the Symington family, whose ancestor AJ Symington first worked for Graham's in 1882, it remains a benchmark for Vintage and Tawny Ports.","https://en.wikipedia.org/wiki/Graham%27s","verified"
"dow's","Dow's","Douro (Port)","Portugal","Dow's is one of the most celebrated names in Port, part of the Symington family's Douro estates and centered on the historic Quinta do Bomfim at Pinhao, acquired for Dow's in 1896. The brand name was adopted in 1877 after Silva & Cosens merged with the firm of James Ramsay Dow. Known for a distinctive drier finish and powerful, age-worthy Vintage Ports, Dow's draws on Bomfim and Quinta da Senhora da Ribeira, worked by generations of Symington winemakers.","https://www.wine.com/product/dows-vale-do-bomfim-2019/781276","verified"
"sandeman","Sandeman","Douro (Port)","Portugal","Sandeman was founded in 1790 in London by George Sandeman, a young Scot from Perth who borrowed 300 pounds from his father to set up as a wine merchant specializing in Port and Sherry. A pioneer of wine branding, the house produced one of the first vintage Ports and became one of the world's most recognized fortified-wine names, immortalized by 'The Don,' the caped silhouette logo created in 1928. It is now owned by Portugal's Sogrape.","https://en.wikipedia.org/wiki/Sandeman_(wine)","verified"
"heinz eifel","Heinz Eifel","Rheinhessen","Rheinhessen / Mosel","Heinz Eifel is a German family wine brand built on the Romerhof winery (Roman Yard), founded in 1979 by Heinz Eifel at Trittenheim in the Mosel Valley. His daughter Anne Eifel-Spohr, an oenology graduate of Geisenheim University, became winemaker in 2000, and the family began bottling under their own name. Working long-term grower contracts and stainless-steel fermentation, the house bottles across the Mosel and Rheinhessen; its sweet dessert wines, such as a botrytis Silvaner Beerenauslese and Eiswein, draw on Rheinhessen fruit.","https://www.winesellersltd.com/brand/heinz-eifel/","verified"
"toro albala","Toro Albala","Montilla-Moriles","Spain","Bodegas Toro Albala lies in Aguilar de la Frontera in Spain's Montilla-Moriles region, with roots reaching back to 1844. In 1922 Jose Maria Toro Albala moved the winery into the town's former electric power station, whose underground tunnels are ideal for aging, a heritage echoed in its 'Electrico' wines. Built almost entirely on the Pedro Ximenez grape, it is famed for its intensely sweet, sun-dried Don PX dessert wines and was the first in Montilla to bottle a Dessert PX, in 1970.","https://www.thesortingtable.com/grower/bodegas-toro-albala/","verified"
"normandin-mercier","Normandin-Mercier","Charentes","France","J. Normandin-Mercier is a family Cognac and Pineau des Charentes house founded in 1872 by Jules Normandin, based at the Chateau de la Peraudiere near La Rochelle. For five generations it has sourced young Cognac exclusively from the Grande and Petite Champagne crus and aged it in seaside cellars whose maritime air lends roundness. Its Pineau des Charentes, a blend of fresh grape must and Cognac aged in oak, is a regional specialty served as aperitif or dessert wine.","https://normandin-mercier.fr/en/content/8-history-of-normandin-mercier-family","verified"
"blandy's","Blandy's","Madeira","Portugal","Blandy's is one of the oldest and most respected names in Madeira, dating to 1811 when John Blandy, who had arrived with the British garrison during the Napoleonic wars, settled on the island and built a wine business. The Blandys are unique as the only family among the original founders of the Madeira trade still owning and running their original company, now led by the seventh generation, Chris Blandy. They work all the classic Madeira varieties: Sercial, Verdelho, Bual, Malmsey, and Tinta Negra.","https://blandys.com/en/home/","verified"
